term,count
ace,531273703
admission acceptance,123
admission status,4883
alarm clock,157289
alarm set by husband,0
alice arriving to school,0
alice waking up,26
appearance,13048900
arriving to school on time,33
ate,2522432930
att,427918919
attractive appearance,14727
average causal effect,4506
average treatment effect,15812
average treatment effect on the treated,1205
backadj,278
backdoor adjustment set,17
being hard-working,432
blowing out the candle,2790
broken bones,87533
child's intelligence,994
cholera,628485
cholera contraction,2
cholesterol level,329344
citrus intake,173
clean water,344110
college admission,65695
college degree or higher,2806
collider bias,1997
collider_bias,0
correlation,17770982
counterfactual (deterministic),0
dark room,129781
det-counterfactua,0
disease,46992640
drug taken,2896
eating citrus,384
education level,322244
effect of the treatment on the treated,96
effort,24899983
employee,21225782
employee being fired,135
encouragement,1032574
encouragement level,36
ett,317372339
exam score,17626
exp_away,0
expaining away effect,0
gender,11496222
gene,290121613
getting the vaccine,2144
glimx,7
ground,71791763
gyzp,415
healthy heart,23655
heart condition,91394
high exam score,96
high hospital bill,115
high infant mortality,6046
high salary,11902
hospital costs,41639
husband,13206367
increased price,19706
increased supply,12358
infant mortality,152441
infant's birth weight,570
intelligent child,6044
intelligent parents,681
jyka,2101
kindness,1320035
kwox,553
kwoz,520
lifespan,843630
lirg,118254
long lifespan,17874
low cholesterol,13615
lung cancer,1999122
male gender,213808
manager,24790293
manager signing the termination letter,0
marginal,3559898
marginal distribution,82560
maternal smoking status,2008
medication,7057848
muvq,480
my decision,261357
natural direct effect,1340
natural indirect effect,1446
nde,832492163
nie,95859431
normal infant birth weight,17
obesity,4038994
parents' intelligence,62
penguin death,110
penguin survival,52
personality,4158959
pexu,3244
price,34800012
prisoner,5468473
rainy season,191200
receives treatment,5280
recovering from the disease,550
recovery,10027800
respiratory issues,9235
ringing alarm,2474
rixq,14287
room,66399777
rukz,2045
salary,3052680
scurvy,85442
season,40188385
skin,34414245
smallpox survival,0
smoking,6201691
smoking gene,956
smoking mother,7242
supply,13467810
taking medication,77070
taking of all assigned drugs,0
taking the elevator,3373
talent,7422693
tanned skin,20287
tanning salon treatment,4
the camper,71993
the camper lighting a match,0
the captain,1768842
the captain's order to execute the prisoner,0
the forest,2439012
the forest on fire,499
the man in the room,1209
the prisoner's death,251
treatment,63323142
uvzi,466
vaccination,2597256
vaccination status,37566
waking up late,2076
water quality,460195
wet ground,14776
xevo,11841
xevu,571
yomx,425
yupt,4973
zuph,4388
