ID,descriptive_id,sensical,query_type,rung,phenomenon,simpson,truth,prompt,truth_norm,pred
4669,confounding_a_ett_gender_pay,-1,ett,3,confounding,False,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: High-pay job has a direct effect on giving a handshake and high pay. Giving a handshake has a direct effect on high pay. For workers in low-paying jobs and are not giving a handshake, the probability of high pay is 61.17%. For workers in low-paying jobs and are giving a handshake, the probability of high pay is 20.04%. For workers in high-paying jobs and are not giving a handshake, the probability of high pay is 52.30%. For workers in high-paying jobs and are giving a handshake, the probability of high pay is 86.83%. For people who are not giving a handshake, the probability of high-pay job is 13.04%. For people who are giving a handshake, the probability of high-pay job is 25.93%. For people who are giving a handshake, would it be more likely to see high pay if the person had not been giving a handshake?

Hint: You can answer the question by following the subquestions below:

Step 1) Extract the causal graph: What is the causal graph expressed in the context? Use ""V1"" to denote ""occupation"". Use ""X"" to denote ""a handshake"". Use ""Y"" to denote ""pay"". Answer nothing else but each edge one by one, in the format of ""var1 -> var2"", and use "","" to separate the edges.

Step 2) Identify the query type: What is the query type of the above question? Choose one from ""marginal probability"", ""conditional probability"", ""explaining away effect"", ""backdoor adjustment set"", ""average treatment effect"", ""collider bias"", ""normal counterfactual question"", ""average treatment effect on treated"", ""natural direct effect"", or ""natural indirect effect"". Answer nothing else but a quoted choice from above.

Step 3) Translate the query to an estimand: Based on the type of the causal query, translate the question to a formal estimand. Use the ""do(·)"" notation or counterfactual notations whenever necessary.

Step 4) Collect all the available data: Extract all available data. Answer nothing else but marginal probabilities and conditional probabilities, in the form of ""P(...)=..."" or ""P(...|...)=..."", and use "";"" to separate each of them. Use ""V1"" to denote ""occupation"". Use ""X"" to denote ""a handshake"". Use ""Y"" to denote ""pay"".

Step 5) Solve for the estimand: Given all the information above, solve for the estimand mentioned before using causal inference skills such as do-calculus, counterfactual prediction, and the basics of probabilities. Answer step by step.",1,No
4046,collision_n_nie_nonsense0,0,nie,3,collision,False,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Hupx has a direct effect on fyze. Tijw has a direct effect on fyze.  Does hupx affect tijw through fyze?

Hint: You can answer the question by following the subquestions below:

Step 1) Extract the causal graph: What is the causal graph expressed in the context? Use ""X"" to denote ""hupx"". Use ""Y"" to denote ""tijw"". Use ""V3"" to denote ""fyze"". Answer nothing else but each edge one by one, in the format of ""var1 -> var2"", and use "","" to separate the edges.

Step 2) Identify the query type: What is the query type of the above question? Choose one from ""marginal probability"", ""conditional probability"", ""explaining away effect"", ""backdoor adjustment set"", ""average treatment effect"", ""collider bias"", ""normal counterfactual question"", ""average treatment effect on treated"", ""natural direct effect"", or ""natural indirect effect"". Answer nothing else but a quoted choice from above.

Step 3) Translate the query to an estimand: Based on the type of the causal query, translate the question to a formal estimand. Use the ""do(·)"" notation or counterfactual notations whenever necessary.

Step 4) Collect all the available data: Extract all available data. Answer nothing else but marginal probabilities and conditional probabilities, in the form of ""P(...)=..."" or ""P(...|...)=..."", and use "";"" to separate each of them. Use ""X"" to denote ""hupx"". Use ""Y"" to denote ""tijw"". Use ""V3"" to denote ""fyze"".

Step 5) Solve for the estimand: Given all the information above, solve for the estimand mentioned before using causal inference skills such as do-calculus, counterfactual prediction, and the basics of probabilities. Answer step by step.",0,No
1597,arrowhead_c_ett_floor_wet,1,ett,3,arrowhead,False,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Rain season has a direct effect on rain and wet floor. Sprinkler on has a direct effect on rain and wet floor. Rain has a direct effect on wet floor. For people in the dry season, the probability of wet floor is 70.87%. For people in the rainy season, the probability of wet floor is 35.25%. For people in the rainy season, would it be more likely to see wet floor if the season had been dry?

Hint: You can answer the question by following the subquestions below:

Step 1) Extract the causal graph: What is the causal graph expressed in the context? Use ""X"" to denote ""season"". Use ""V3"" to denote ""weather"". Use ""V2"" to denote ""sprinkler"". Use ""Y"" to denote ""floor"". Answer nothing else but each edge one by one, in the format of ""var1 -> var2"", and use "","" to separate the edges.

Step 2) Identify the query type: What is the query type of the above question? Choose one from ""marginal probability"", ""conditional probability"", ""explaining away effect"", ""backdoor adjustment set"", ""average treatment effect"", ""collider bias"", ""normal counterfactual question"", ""average treatment effect on treated"", ""natural direct effect"", or ""natural indirect effect"". Answer nothing else but a quoted choice from above.

Step 3) Translate the query to an estimand: Based on the type of the causal query, translate the question to a formal estimand. Use the ""do(·)"" notation or counterfactual notations whenever necessary.

Step 4) Collect all the available data: Extract all available data. Answer nothing else but marginal probabilities and conditional probabilities, in the form of ""P(...)=..."" or ""P(...|...)=..."", and use "";"" to separate each of them. Use ""X"" to denote ""season"". Use ""V3"" to denote ""weather"". Use ""V2"" to denote ""sprinkler"". Use ""Y"" to denote ""floor"".

Step 5) Solve for the estimand: Given all the information above, solve for the estimand mentioned before using causal inference skills such as do-calculus, counterfactual prediction, and the basics of probabilities. Answer step by step.",1,Yes
2995,chain_a_nie_smoking_gene_cancer,-1,nie,3,chain,False,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Shoelace tying has a direct effect on smoker status. Smoker status has a direct effect on lung cancer. For people who are not tying their shoelaces, the probability of lung cancer is 45.03%. For people who are tying their shoelaces, the probability of lung cancer is 46.78%. Does shoelace tying affect lung through smoking status?

Hint: You can answer the question by following the subquestions below:

Step 1) Extract the causal graph: What is the causal graph expressed in the context? Use ""X"" to denote ""shoelace tying"". Use ""V2"" to denote ""smoking status"". Use ""Y"" to denote ""lung"". Answer nothing else but each edge one by one, in the format of ""var1 -> var2"", and use "","" to separate the edges.

Step 2) Identify the query type: What is the query type of the above question? Choose one from ""marginal probability"", ""conditional probability"", ""explaining away effect"", ""backdoor adjustment set"", ""average treatment effect"", ""collider bias"", ""normal counterfactual question"", ""average treatment effect on treated"", ""natural direct effect"", or ""natural indirect effect"". Answer nothing else but a quoted choice from above.

Step 3) Translate the query to an estimand: Based on the type of the causal query, translate the question to a formal estimand. Use the ""do(·)"" notation or counterfactual notations whenever necessary.

Step 4) Collect all the available data: Extract all available data. Answer nothing else but marginal probabilities and conditional probabilities, in the form of ""P(...)=..."" or ""P(...|...)=..."", and use "";"" to separate each of them. Use ""X"" to denote ""shoelace tying"". Use ""V2"" to denote ""smoking status"". Use ""Y"" to denote ""lung"".

Step 5) Solve for the estimand: Given all the information above, solve for the estimand mentioned before using causal inference skills such as do-calculus, counterfactual prediction, and the basics of probabilities. Answer step by step.",1,No
9475,nondet-diamondcut_c_nde_smoking_frontdoor,1,nde,3,nondet-diamondcut,False,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Having a high tar deposit has a direct effect on smoking and make. Smoking has a direct effect on lung cancer. Make has a direct effect on lung cancer. For people with no tar deposit and nonsmokers, the probability of lung cancer is 29.54%. For people with no tar deposit and smokers, the probability of lung cancer is 70.81%. For people with high tar deposit and nonsmokers, the probability of lung cancer is 64.34%. For people with high tar deposit and smokers, the probability of lung cancer is 54.44%. The overall probability of having a high tar deposit is 50.00%. If we disregard the mediation effect through tar deposit, would smoking still positively affect lung cancer?

Hint: You can answer the question by following the subquestions below:

Step 1) Extract the causal graph: What is the causal graph expressed in the context? Use ""V1"" to denote ""tar deposit"". Use ""V3"" to denote ""gender"". Use ""X"" to denote ""smoking status"". Use ""Y"" to denote ""lung"". Answer nothing else but each edge one by one, in the format of ""var1 -> var2"", and use "","" to separate the edges.

Step 2) Identify the query type: What is the query type of the above question? Choose one from ""marginal probability"", ""conditional probability"", ""explaining away effect"", ""backdoor adjustment set"", ""average treatment effect"", ""collider bias"", ""normal counterfactual question"", ""average treatment effect on treated"", ""natural direct effect"", or ""natural indirect effect"". Answer nothing else but a quoted choice from above.

Step 3) Translate the query to an estimand: Based on the type of the causal query, translate the question to a formal estimand. Use the ""do(·)"" notation or counterfactual notations whenever necessary.

Step 4) Collect all the available data: Extract all available data. Answer nothing else but marginal probabilities and conditional probabilities, in the form of ""P(...)=..."" or ""P(...|...)=..."", and use "";"" to separate each of them. Use ""V1"" to denote ""tar deposit"". Use ""V3"" to denote ""gender"". Use ""X"" to denote ""smoking status"". Use ""Y"" to denote ""lung"".

Step 5) Solve for the estimand: Given all the information above, solve for the estimand mentioned before using causal inference skills such as do-calculus, counterfactual prediction, and the basics of probabilities. Answer step by step.",1,Yes
1321,arrowhead_n_correlation_nonsense10,0,correlation,1,arrowhead,False,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Vwen has a direct effect on muvq and czix. Xevi has a direct effect on muvq and czix. Muvq has a direct effect on czix. For those who are not vwen, the probability of czix is 31.38%. For those who are vwen, the probability of czix is 59.60%. Is the chance of czix larger when observing vwen?

Hint: You can answer the question by following the subquestions below:

Step 1) Extract the causal graph: What is the causal graph expressed in the context? Use ""X"" to denote ""vwen"". Use ""V3"" to denote ""muvq"". Use ""V2"" to denote ""xevi"". Use ""Y"" to denote ""czix"". Answer nothing else but each edge one by one, in the format of ""var1 -> var2"", and use "","" to separate the edges.

Step 2) Identify the query type: What is the query type of the above question? Choose one from ""marginal probability"", ""conditional probability"", ""explaining away effect"", ""backdoor adjustment set"", ""average treatment effect"", ""collider bias"", ""normal counterfactual question"", ""average treatment effect on treated"", ""natural direct effect"", or ""natural indirect effect"". Answer nothing else but a quoted choice from above.

Step 3) Translate the query to an estimand: Based on the type of the causal query, translate the question to a formal estimand. Use the ""do(·)"" notation or counterfactual notations whenever necessary.

Step 4) Collect all the available data: Extract all available data. Answer nothing else but marginal probabilities and conditional probabilities, in the form of ""P(...)=..."" or ""P(...|...)=..."", and use "";"" to separate each of them. Use ""X"" to denote ""vwen"". Use ""V3"" to denote ""muvq"". Use ""V2"" to denote ""xevi"". Use ""Y"" to denote ""czix"".

Step 5) Solve for the estimand: Given all the information above, solve for the estimand mentioned before using causal inference skills such as do-calculus, counterfactual prediction, and the basics of probabilities. Answer step by step.",1,Yes
3509,collision_a_ett_firing_squad,-1,ett,3,collision,False,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Captain's command to execute the prisoner has a direct effect on rifleman1 shooting. Thin lip shape has a direct effect on rifleman1 shooting.  For captains who execute prisoners, would it be more likely to see thin lip shape if the captain had released the prisoner?

Hint: You can answer the question by following the subquestions below:

Step 1) Extract the causal graph: What is the causal graph expressed in the context? Use ""X"" to denote ""captain's command"". Use ""Y"" to denote ""lip shape"". Use ""V3"" to denote ""rifleman1's action"". Answer nothing else but each edge one by one, in the format of ""var1 -> var2"", and use "","" to separate the edges.

Step 2) Identify the query type: What is the query type of the above question? Choose one from ""marginal probability"", ""conditional probability"", ""explaining away effect"", ""backdoor adjustment set"", ""average treatment effect"", ""collider bias"", ""normal counterfactual question"", ""average treatment effect on treated"", ""natural direct effect"", or ""natural indirect effect"". Answer nothing else but a quoted choice from above.

Step 3) Translate the query to an estimand: Based on the type of the causal query, translate the question to a formal estimand. Use the ""do(·)"" notation or counterfactual notations whenever necessary.

Step 4) Collect all the available data: Extract all available data. Answer nothing else but marginal probabilities and conditional probabilities, in the form of ""P(...)=..."" or ""P(...|...)=..."", and use "";"" to separate each of them. Use ""X"" to denote ""captain's command"". Use ""Y"" to denote ""lip shape"". Use ""V3"" to denote ""rifleman1's action"".

Step 5) Solve for the estimand: Given all the information above, solve for the estimand mentioned before using causal inference skills such as do-calculus, counterfactual prediction, and the basics of probabilities. Answer step by step.",0,Ins
5703,frontdoor_n_correlation_nonsense7,0,correlation,1,frontdoor,False,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gyzl has a direct effect on zory and glimx. Zory has a direct effect on yupt. Yupt has a direct effect on glimx. Gyzl is unobserved. For those who are not zory, the probability of glimx is 46.18%. For those who are zory, the probability of glimx is 78.96%. Is the chance of glimx larger when observing zory?

Hint: You can answer the question by following the subquestions below:

Step 1) Extract the causal graph: What is the causal graph expressed in the context? Use ""V3"" to denote ""yupt"". Use ""V1"" to denote ""gyzl"". Use ""X"" to denote ""zory"". Use ""Y"" to denote ""glimx"". Answer nothing else but each edge one by one, in the format of ""var1 -> var2"", and use "","" to separate the edges.

Step 2) Identify the query type: What is the query type of the above question? Choose one from ""marginal probability"", ""conditional probability"", ""explaining away effect"", ""backdoor adjustment set"", ""average treatment effect"", ""collider bias"", ""normal counterfactual question"", ""average treatment effect on treated"", ""natural direct effect"", or ""natural indirect effect"". Answer nothing else but a quoted choice from above.

Step 3) Translate the query to an estimand: Based on the type of the causal query, translate the question to a formal estimand. Use the ""do(·)"" notation or counterfactual notations whenever necessary.

Step 4) Collect all the available data: Extract all available data. Answer nothing else but marginal probabilities and conditional probabilities, in the form of ""P(...)=..."" or ""P(...|...)=..."", and use "";"" to separate each of them. Use ""V3"" to denote ""yupt"". Use ""V1"" to denote ""gyzl"". Use ""X"" to denote ""zory"". Use ""Y"" to denote ""glimx"".

Step 5) Solve for the estimand: Given all the information above, solve for the estimand mentioned before using causal inference skills such as do-calculus, counterfactual prediction, and the basics of probabilities. Answer step by step.",1,Yes
6328,mediation_a_ate_obesity_mortality,-1,ate,2,mediation,False,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Obesity has a direct effect on diabetes condition and brunette hair. Diabetes condition has a direct effect on brunette hair. For non-obese individuals, the probability of brunette hair is 35.05%. For obese individuals, the probability of brunette hair is 22.14%. Will obesity increase the chance of brunette hair?

Hint: You can answer the question by following the subquestions below:

Step 1) Extract the causal graph: What is the causal graph expressed in the context? Use ""X"" to denote ""obesity level"". Use ""V2"" to denote ""diabetes condition"". Use ""Y"" to denote ""natural hair color"". Answer nothing else but each edge one by one, in the format of ""var1 -> var2"", and use "","" to separate the edges.

Step 2) Identify the query type: What is the query type of the above question? Choose one from ""marginal probability"", ""conditional probability"", ""explaining away effect"", ""backdoor adjustment set"", ""average treatment effect"", ""collider bias"", ""normal counterfactual question"", ""average treatment effect on treated"", ""natural direct effect"", or ""natural indirect effect"". Answer nothing else but a quoted choice from above.

Step 3) Translate the query to an estimand: Based on the type of the causal query, translate the question to a formal estimand. Use the ""do(·)"" notation or counterfactual notations whenever necessary.

Step 4) Collect all the available data: Extract all available data. Answer nothing else but marginal probabilities and conditional probabilities, in the form of ""P(...)=..."" or ""P(...|...)=..."", and use "";"" to separate each of them. Use ""X"" to denote ""obesity level"". Use ""V2"" to denote ""diabetes condition"". Use ""Y"" to denote ""natural hair color"".

Step 5) Solve for the estimand: Given all the information above, solve for the estimand mentioned before using causal inference skills such as do-calculus, counterfactual prediction, and the basics of probabilities. Answer step by step.",0,No
1999,arrowhead_n_nie_nonsense9,0,nie,3,arrowhead,False,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Jyko has a direct effect on zory and uvzo. Fyqo has a direct effect on zory and uvzo. Zory has a direct effect on uvzo. For those who are not jyko and are not zory, the probability of uvzo is 94.09%. For those who are not jyko and are zory, the probability of uvzo is 41.89%. For those who are jyko and are not zory, the probability of uvzo is 76.42%. For those who are jyko and are zory, the probability of uvzo is 56.29%. For those who are not jyko and are not fyqo, the probability of zory is 70.00%. For those who are not jyko and are fyqo, the probability of zory is 60.00%. For those who are jyko and are not fyqo, the probability of zory is 40.00%. For those who are jyko and are fyqo, the probability of zory is 40.00%. The overall probability of fyqo is 70.00%. Does jyko affect uvzo through either of fyqo, or zory?

Hint: You can answer the question by following the subquestions below:

Step 1) Extract the causal graph: What is the causal graph expressed in the context? Use ""X"" to denote ""jyko"". Use ""V3"" to denote ""zory"". Use ""V2"" to denote ""fyqo"". Use ""Y"" to denote ""uvzo"". Answer nothing else but each edge one by one, in the format of ""var1 -> var2"", and use "","" to separate the edges.

Step 2) Identify the query type: What is the query type of the above question? Choose one from ""marginal probability"", ""conditional probability"", ""explaining away effect"", ""backdoor adjustment set"", ""average treatment effect"", ""collider bias"", ""normal counterfactual question"", ""average treatment effect on treated"", ""natural direct effect"", or ""natural indirect effect"". Answer nothing else but a quoted choice from above.

Step 3) Translate the query to an estimand: Based on the type of the causal query, translate the question to a formal estimand. Use the ""do(·)"" notation or counterfactual notations whenever necessary.

Step 4) Collect all the available data: Extract all available data. Answer nothing else but marginal probabilities and conditional probabilities, in the form of ""P(...)=..."" or ""P(...|...)=..."", and use "";"" to separate each of them. Use ""X"" to denote ""jyko"". Use ""V3"" to denote ""zory"". Use ""V2"" to denote ""fyqo"". Use ""Y"" to denote ""uvzo"".

Step 5) Solve for the estimand: Given all the information above, solve for the estimand mentioned before using causal inference skills such as do-calculus, counterfactual prediction, and the basics of probabilities. Answer step by step.",1,Yes
