ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step reasoning_alignment external_hallucination redundancy      common_sense_error missing_step    semantic_coverage_step semantic_coverage_chain discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.8654156234115362 0.8815146271282663 0.8789242506027222 0.9413919847128224 0.0006636567413806915 0.0009719133377075195 0.9102914053946733 0.9719518076279634 0.8374722301959991 0.9635627892901293 0.8637207448482513 0.9886180480569601 0.9767431616783142 0.05334407091140747 0.001587510108947754 0.03343286551028089 0.2299354009721647 0.0034752251053008715 0.8983159773051739 0.07147461175918579
1        0.8957208022475243 0.8859348575770856 0.8692184090614319 0.9632562312770919 0.038760541841901586 0.030115246772766113 0.9096404574811459 0.9493694706948812 0.6882306933403015 0.936597493146929 0.7447143942117691 0.9900897517800331 0.9680688232183456 0.002218782901763916 0.00887155532836914 0.027586010910507917 0.10335401488185975 0.014395996252534304 0.9177240915596485 0.4530101716518402
2        0.897415762146314 0.8827140484795426 0.9271870404481888 0.9562413994538582 0.047383813695474064 0.02699829638004303 0.9387373874584833 0.9841509690059294 0.8901817202568054 0.9455447767368863 0.7651142776012421 0.9870276453270428 0.9634223282337189 0.019033312797546387 0.3669579029083252 0.02317485861732368 0.07383034868884995 0.009735218314367305 0.9822514653205872 0.9660389423370361
3        0.8794466969039705 0.8733809632323091 0.8431661799550056 0.9379117109383326 0.00100141209225324 0.0014932304620742798 0.9219443500041962 0.9735282108021046 0.8057518601417542 0.9630716220716788 0.8176152408123016 0.9979505702522066 0.9770815372467041 0.008005023002624512 0.002194821834564209 0.028515669312447388 0.2818423266474331 0.0026484400177595535 0.9729774296283722 0.9282705187797546
4        0.8750760972499847 0.8749392918565057 0.8941240161657333 0.9539908536334536 0.017770629662733795 0.006508618593215942 0.9117144882678986 0.9672153464454638 0.7824708819389343 0.9437677141146805 0.768903523683548 0.9907808630362801 0.9889148771762848 0.18516689538955688 0.9350531473755836 0.022330745562180312 0.14907496073181858 0.008327398361660744 0.9400798738002777 0.8152418732643127
5        0.8871089773518699 0.8800685729879838 0.8774890899658203 0.9690921835118919 0.044041990671517706 0.04114648699760437 0.9051209411450795 0.9142915147254072 0.6598368436098099 0.939773543960424 0.7503241896629333 0.9983201147236439 0.9772092252969742 0.0061716437339782715 0.07840263843536377 0.025582868717407215 0.09529811948377569 0.010692203662794357 0.9821335758481707 0.9733928442001343
6        0.9127883017063141 0.8920171850919724 0.8891114145517349 0.9676631975433101 0.04268076439057622 0.05820368230342865 0.9178697069485983 0.9833640836633144 0.8174450397491455 0.9492088737406972 0.7806712090969086 0.9735681997693103 0.9780363291501999 0.09237796068191528 0.04906117916107178 0.02077787292404968 0.07254100114332744 0.011961083795663543 0.9208401441574097 0.7091894149780273
7        0.8948628646986825 0.8818604723044804 0.9033874571323395 0.9575699069997766 0.042923389349953656 0.029283985495567322 0.9238349156720298 0.9541327305097926 0.7414156794548035 0.9527283367284571 0.775703489780426 0.9948231561213547 0.9875729382038116 0.6369443535804749 0.7787991613149643 0.022127877355873158 0.10913434544613687 0.0037170966227325765 0.9834535207067218 0.9702720046043396
8        0.8843054288909549 0.876042924643982 0.8953568041324615 0.9402324845751024 0.008830775265340485 0.0030104517936706543 0.9293291015284402 0.9772218967137327 0.8415404558181763 0.9459170611261545 0.7685154974460602 0.994177113147009 0.9889844059944153 0.005386412143707275 0.0032492876052856445 0.022033211801646413 0.24688142876001679 0.0009237583282571814 0.9301728069604862 0.03027147613465786
9        0.8934400346544054 0.8902762742174997 0.9015231430530548 0.9433885553479194 0.005987687330496927 0.013548299670219421 0.9210643321275711 0.9812203760708629 0.8216464817523956 0.9580492184220626 0.8048622906208038 0.9862823853227828 0.9842951893806458 0.0046117305755615234 0.003709077835083008 0.017755912015229636 0.2436070260051994 0.0009542739169822772 0.8793046543788579 0.03027147613465786
10       0.9010590745343102 0.8933248579351589 0.8843668550252914 0.9608573541286308 0.03617214348356601 0.02495512366294861 0.9094842539893256 0.9705118976417637 0.8105100989341736 0.9455691154762516 0.7663601934909821 0.9848301317092877 0.9882090240716934 0.06663966178894043 0.6662047803401947 0.02055500028375315 0.10503112394440751 0.007984233432696993 0.9201516939534081 0.4001930058002472
11       0.8871110572534449 0.8855835961005767 0.9100608974695206 0.9343026792985603 0.005549190030700868 0.0033413320779800415 0.9241835317190956 0.983705754934098 0.8374046385288239 0.939903911566546 0.7574796676635742 0.9909623143953435 0.9822208881378174 0.0046117305755615234 0.0031531453132629395 0.01920284433587519 0.2241212059556246 0.0009542757371170638 0.8867086362751091 0.030271317809820175
12       0.9027541130781174 0.8921738698014191 0.881757989525795 0.946711345565045 0.015214145978291849 0.00980481505393982 0.9164897911250591 0.9804233809436766 0.8128957748413086 0.9498533810463101 0.7787272334098816 0.9829508085613665 0.9794805645942688 0.015860438346862793 0.0018170475959777832 0.025920725203472546 0.1958753484823034 0.0006747859449272789 0.9484224021434784 0.7143678069114685
13       0.8787822382790702 0.8756356057098934 0.9316357523202896 0.9643124815953876 0.03724134787917133 0.02957846224308014 0.8984583339520863 0.9073819317416754 0.6613645404577255 0.9438011878060877 0.7669228315353394 0.9898792695925103 0.9628778100013733 0.01651221513748169 0.7664992660284042 0.02669881851651603 0.09253384257284684 0.014396003117081883 0.9355712788445609 0.638569712638855
14       0.8741712421178818 0.8664251732929 0.8812472075223923 0.942025658510187 0.028553448179188923 0.00774112343788147 0.9298007562756538 0.9716862818981769 0.8473190367221832 0.9386732973159946 0.7683603465557098 0.9971286910772323 0.981366902589798 0.01342785358428955 0.005972862243652344 0.03036158292045629 0.20181736924310514 0.009544059162703055 0.8823273976643881 0.11100488901138306
